City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Saint-Pierre,RE,69.48,few clouds,-21.3393,55.4781,Alize Plage
8,Gronau,DE,72.1,moderate rain,52.2,7.0333,Hotel-Restaurant Bergesbuer
9,Camacha,PT,67.42,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
12,Carballo,ES,67.01,scattered clouds,43.213,-8.691,Pazo do Souto
15,Kilindoni,TZ,75.16,light rain,-7.9139,39.6668,Bustani B&B
19,Touros,BR,74.62,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
21,Chapais,CA,73.18,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
28,Bonthe,SL,75.65,light rain,7.5264,-12.505,Bonthe Holiday Village
30,Tabuk,PH,78.85,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
34,Mahanoro,MG,65.3,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
35,Ribeira Grande,PT,72.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
36,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
37,Pescara,IT,77.56,clear sky,42.3333,13.95,Casa Gavenniae
39,Najran,SA,78.73,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
40,Atyrau,KZ,69.82,broken clouds,47.1167,51.8833,River Palace Hotel
41,Soyo,AO,69.89,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
45,Xacmaz,AZ,70.14,clear sky,41.4635,48.806,Ulduz Hotel
47,Torbay,CA,65.57,broken clouds,47.6666,-52.7314,Gallows Cove
49,Gonen,TR,68.02,clear sky,40.1049,27.654,Gönen Palmiye Butik Pansiyon
51,Olinda,BR,73.13,mist,-8.0089,-34.8553,Flat Quatro Rodas Olinda
52,Tshikapa,CD,77.67,scattered clouds,-6.4167,20.8,Tatem beach
53,Sept-Iles,CA,79.32,few clouds,50.2001,-66.3821,Comfort Inn
54,Ponta Do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
61,Inirida,CO,74.26,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
65,Dingle,PH,78.84,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
66,Bambous Virieux,MU,68.25,light rain,-20.3428,57.7575,Casa Tia Villa
68,Malumfashi,NG,69.85,overcast clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
72,Korla,CN,66.29,clear sky,41.7597,86.1469,Gulisitan Hotel
73,Kutum,SD,74.37,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
74,Mount Pleasant,US,75.34,clear sky,32.7941,-79.8626,Best Western Patriots Point
75,Marawi,PH,72.36,broken clouds,7.9986,124.2928,Derogongan Residence
76,Arraial Do Cabo,BR,70.18,clear sky,-22.9661,-42.0278,Pousada Porto Praia
77,Omboue,GA,72.64,broken clouds,-1.5746,9.2618,Hotel Olako
79,Sinnamary,GF,77.54,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
81,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
82,Manavalakurichi,IN,77.16,broken clouds,8.1333,77.3,Jebinrio home
83,Male,MV,79.84,light rain,4.1748,73.5089,Hotel Octave Maldives
88,Mykolayivka,UA,68.22,broken clouds,47.5414,30.7561,Готель
