City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Plast,RU,54.3691,60.8136,52.47,89,13,8.63,few clouds
1,Jamestown,US,42.097,-79.2353,85.59,56,0,11.5,clear sky
2,Upernavik,GL,72.7868,-56.1549,48.69,68,89,7.02,overcast clouds
3,Saint-Pierre,RE,-21.3393,55.4781,69.48,63,20,23.02,few clouds
4,Ushuaia,AR,-54.8,-68.3,31.66,74,75,14.97,broken clouds
5,Cape Town,ZA,-33.9258,18.4232,57.38,77,0,3.2,clear sky
6,Clyde River,CA,70.4692,-68.5914,37.83,90,100,2.06,overcast clouds
7,Kamenka,RU,51.3223,42.7678,57.25,88,83,4.81,broken clouds
8,Gronau,DE,52.2,7.0333,72.1,83,71,4.34,moderate rain
9,Camacha,PT,33.0833,-16.3333,67.42,78,75,10.36,broken clouds
10,Caxito,AO,-8.5785,13.6643,65.71,93,8,0.34,clear sky
11,Luena,AO,-11.7833,19.9167,56.52,43,31,3.8,scattered clouds
12,Carballo,ES,43.213,-8.691,67.01,89,43,7.9,scattered clouds
13,Chabahar,IR,25.2919,60.643,82.49,84,99,7.31,overcast clouds
14,Monastyrshchina,RU,54.3496,31.838,59.27,61,94,14.36,overcast clouds
15,Kilindoni,TZ,-7.9139,39.6668,75.16,73,55,15.5,light rain
16,Camana,PE,-16.6228,-72.7111,60.58,85,56,4.27,broken clouds
17,Bouar,CF,5.934,15.596,64.99,98,100,1.97,light rain
18,Castro,BR,-24.7911,-50.0119,57.81,92,1,4.38,clear sky
19,Touros,BR,-5.1989,-35.4608,74.62,85,84,10.02,broken clouds
20,Georgetown,MY,5.4112,100.3354,80.89,90,20,3.44,few clouds
21,Chapais,CA,49.7834,-74.8492,73.18,58,89,4.63,overcast clouds
22,East London,ZA,-33.0153,27.9116,61.65,82,97,4.76,overcast clouds
23,Ilulissat,GL,69.2167,-51.1,59.02,41,75,16.11,broken clouds
24,Beni,CD,0.5,29.4667,62.26,93,35,2.82,scattered clouds
25,Talnakh,RU,69.4865,88.3972,54.21,73,100,4.7,overcast clouds
26,Verkhnyaya Inta,RU,65.9811,60.3094,61.74,58,96,6.4,overcast clouds
27,Qaanaaq,GL,77.484,-69.3632,40.91,80,100,2.37,overcast clouds
28,Bonthe,SL,7.5264,-12.505,75.65,85,100,10.4,light rain
29,Kalabo,ZM,-14.97,22.6814,56.79,45,3,6.49,clear sky
30,Tabuk,PH,17.4189,121.4443,78.85,86,76,2.28,broken clouds
31,Hermanus,ZA,-34.4187,19.2345,50.95,70,1,4.32,clear sky
32,Kisanga,TZ,-7.4362,37.7034,67.91,81,39,2.19,scattered clouds
33,Skerries,IE,53.5828,-6.1083,61.12,65,99,10.2,overcast clouds
34,Mahanoro,MG,-19.9,48.8,65.3,87,29,4.29,light rain
35,Ribeira Grande,PT,38.5167,-28.7,72.0,88,20,3.44,few clouds
36,Saint-Philippe,RE,-21.3585,55.7679,69.39,80,46,12.84,light rain
37,Pescara,IT,42.3333,13.95,77.56,43,0,6.04,clear sky
38,Busselton,AU,-33.65,115.3333,55.72,94,100,8.95,light rain
39,Najran,SA,17.4924,44.1277,78.73,53,100,10.49,overcast clouds
40,Atyrau,KZ,47.1167,51.8833,69.82,78,75,8.95,broken clouds
41,Soyo,AO,-6.1349,12.3689,69.89,90,43,6.06,scattered clouds
42,Narsaq,GL,60.9167,-46.05,52.75,87,75,2.46,broken clouds
43,Mar Del Plata,AR,-38.0023,-57.5575,58.08,60,20,18.99,few clouds
44,Iqaluit,CA,63.7506,-68.5145,47.93,87,75,2.3,broken clouds
45,Xacmaz,AZ,41.4635,48.806,70.14,74,0,9.95,clear sky
46,Polunochnoye,RU,60.8697,60.4153,56.44,98,100,5.23,light rain
47,Torbay,CA,47.6666,-52.7314,65.57,81,75,19.57,broken clouds
48,Riyadh,SA,24.6877,46.7219,91.54,10,67,8.28,broken clouds
49,Gonen,TR,40.1049,27.654,68.02,41,0,3.53,clear sky
50,Caluquembe,AO,-13.7833,14.6833,56.37,56,52,1.97,broken clouds
51,Olinda,BR,-8.0089,-34.8553,73.13,94,100,10.36,mist
52,Tshikapa,CD,-6.4167,20.8,77.67,34,43,1.03,scattered clouds
53,Sept-Iles,CA,50.2001,-66.3821,79.32,40,20,11.5,few clouds
54,Ponta Do Sol,PT,32.6667,-17.1,72.23,78,7,6.02,clear sky
55,Chuy,UY,-33.6971,-53.4616,55.78,96,1,6.71,clear sky
56,Medvedok,RU,57.3891,50.0351,52.09,91,73,1.45,broken clouds
57,Salekhard,RU,66.53,66.6019,58.21,62,100,6.58,overcast clouds
58,Roald,NO,62.5833,6.1333,62.17,94,100,4.61,overcast clouds
59,Guapore,BR,-28.8456,-51.8903,60.55,97,1,2.73,clear sky
60,Iralaya,HN,15.0,-83.2333,81.07,81,70,8.84,broken clouds
61,Inirida,CO,3.8653,-67.9239,74.26,95,68,2.15,broken clouds
62,Tasiilaq,GL,65.6145,-37.6368,39.36,78,73,1.21,broken clouds
