City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Coihaique,CL,2022-07-16 22:07:41,-45.5752,-72.0662,36.21,80,100,4.61
1,Mahebourg,MU,2022-07-16 22:07:42,-20.4081,57.7,66.25,73,58,17.0
2,Lasa,IT,2022-07-16 22:07:42,46.6166,10.7002,62.53,82,0,4.92
3,Rio Gallegos,AR,2022-07-16 22:07:43,-51.6226,-69.2181,33.85,93,40,5.75
4,Port Alfred,ZA,2022-07-16 22:04:27,-33.5906,26.891,67.17,42,1,8.46
5,Ushuaia,AR,2022-07-16 22:07:43,-54.8,-68.3,38.86,65,40,8.05
6,Tchollire,CM,2022-07-16 22:07:44,8.4022,14.1698,72.43,95,100,2.59
7,Vila Franca Do Campo,PT,2022-07-16 22:07:44,37.7167,-25.4333,70.21,89,2,6.69
8,Den Helder,NL,2022-07-16 22:07:45,52.9599,4.7593,58.01,85,100,2.3
9,Ribeira Grande,PT,2022-07-16 22:05:24,38.5167,-28.7,71.8,86,1,5.86
10,Sawakin,SD,2022-07-16 22:07:46,19.1059,37.3321,88.5,45,52,5.64
11,Itarema,BR,2022-07-16 22:07:46,-2.9248,-39.9167,79.14,80,9,15.19
12,Iqaluit,CA,2022-07-16 22:07:47,63.7506,-68.5145,63.7,45,100,18.01
13,Los Llanos De Aridane,ES,2022-07-16 22:07:47,28.6585,-17.9182,67.75,93,100,16.11
14,Waddan,LY,2022-07-16 22:07:48,29.1614,16.139,78.53,43,0,15.48
15,Skjervoy,NO,2022-07-16 22:07:49,70.0311,20.9714,51.8,98,100,8.37
16,Carnarvon,AU,2022-07-16 22:07:31,-24.8667,113.6333,66.85,55,98,8.01
17,Saint George,US,2022-07-16 22:03:53,37.1041,-113.5841,109.8,16,0,6.91
18,Carauari,BR,2022-07-16 22:07:50,-4.8828,-66.8958,80.01,80,79,1.32
19,Port Elizabeth,ZA,2022-07-16 22:07:50,-33.918,25.5701,65.71,35,21,10.31
20,Katrineholm,SE,2022-07-16 22:07:51,58.9959,16.2072,55.29,73,100,2.71
21,Lagoa,PT,2022-07-16 22:07:51,39.05,-27.9833,70.02,89,0,8.72
22,Cayenne,GF,2022-07-16 22:06:50,4.9333,-52.3333,83.08,1,0,2.3
23,Arraial Do Cabo,BR,2022-07-16 22:05:35,-22.9661,-42.0278,75.06,69,0,12.66
24,Cochrane,CA,2022-07-16 22:07:52,51.1834,-114.4687,85.91,52,0,16.11
25,Beloha,MG,2022-07-16 22:07:53,-25.1667,45.05,65.16,84,7,14.56
